Category,Sub-category,Brand,Product Name,Rating,Review,Bersih,combined_features
cleanser,cream & lotion,Purevivi,Cleansing Lotion,4.5,"jepang buanyak bgt pilihan cleansing water, sampe bikin bingung pilih. pilih krn isinya(biar awet) ditambah keterangan kl produk tuh non-alcohol non-fragrance. cobain testernya jg krn lembut. dicoba, efek cleansingnya cakep!! utk efek moisturizing lembut garnier. paitnya gt. untungnya semingguan pake ga kasih efek breakout. utk harga 1000yen dgn isi 500ml worth it. gatau repurchase engga, kayanya coba cari lg siapatau cucok.",jepang  banget pilihan cleansing water   bingung pilih pilih  isinyabiar awet ditambah keterangan kalo produk  non alcohol non fragrance mencoba testernya   lembut dicoba efek cleansingnya cakap  efek moisturizing lembut garnier paitnya  untungnya semingguan pakai  kasih efek breakout  harga yen  isi ml bernilai  enggak tau repurchase   coba cari  siapatau cocok,cleanser cream & lotion Purevivi
cleanser,cream & lotion,Purbasari,Daily Series Pembersih,4.2,"apply makeupnya bener2 bersih, aromanya lembut bangeett,, ga strong. pakenya nyaman2. teksturnya ga lengket dipake, cuman lupa beli toner/ penyegarnya bilas milk cleansernya pakai",apply makeupnya  bersih aromanya lembut banget  strong pakenya nyaman teksturnya  lengket dipakai  lupa beli toner penyegarnya bilas milk cleansernya pakai,cleanser cream & lotion Purbasari
cleanser,cream & lotion,the SAEM,Natural Condition Rice Cleansing Cream,4,"pakai cleansing cream first cleanser. diformulasikan pemakai make up ringan, pakai make up berat enak pakai cleansing cream cleansing oil. lumayan nyaman, wanginya menyengat, aroma kayak air cucian beras wangi(?). dipakai kulit lembab. hati-hati bilas kena mata, perih.",pakai cleansing cream first cleanser diformulasikan pemakai memakai up ringan pakai memakai up berat  pakai cleansing cream cleansing oil lumayan nyaman wanginya menyengat aroma  air cucian beras wangi dipakai kulit lembap hati hati bilas sentuh  perih,cleanser cream & lotion the SAEM
cleanser,cream & lotion,Innisfree,Innisfree Apple Seed Cleansing Cream,5,"suka produk, coba free gift official store shopee, langsung beli full size, sebagus😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍",suka produk coba gratis hadiah resmi store shopee  beli full ukuran sebagus,cleanser cream & lotion Innisfree
cleanser,cream & lotion,Brunbrun Paris,Brightening Cleansing Milk,4.4,"wanginya wangi bgt kalo, maaf tp beli(lagi) wangi+ price better pake viv4 milkcleanser cocok….. tp lahhh okeeee bangettt, tp casu ku suka viv4 wkwk gataudehhh",wanginya wangi banget  maaf  belilagi wangi price lebih baik pakai viv milkcleanser cocok   okee banget  casu ku suka viv wkwk gataudehh,cleanser cream & lotion Brunbrun Paris
cleanser,cream & lotion,BRTC,Perfect Calming Gel,4.4,"bagussss, kuliat adem, kenyal alus dipake rutin. abisnya isinya banyakk, pakai ambil. packagingnya berat susah traveling, repurchase bingung kalo galangsung korea olshop2 gapada jual, web resminya",bagus kuliat adem kenyal halus dipakai rutin habisnya isinya banyakk pakai ambil packagingnya berat susah traveling repurchase bingung  galangsung korea toko online gapada jual web resminya,cleanser cream & lotion BRTC
cleanser,cream & lotion,Sukin,Sensitive Cleansing Lotion,3.6,"pake kulit iritasi perih bgt, tau produk dr rekomendasi salah video femaledaily youtube. memutuskan beli bgs. tau kalo produk sukin ingredients bagus vegan, cruelty free, no paraben, sls,. bagus.. emg ga riset, tau bahan2nya tuh sbnrnya ga totally safe utk sensitive skin, potensi2 utk sensitizing utk bbrp org reaktif. experiencenya ga enak, emg sukanya pake berbahan dasar oil, pake lotion gini jd gaenak bgt. lotion muka, kaya ga bs bersih2 bgt, heavy dibersihinnya gak dapet""bersih""nya. gasuka, tp so far nemu first cleanser aman bgt kulit sensitif/ kulitnya lg damaged bgt.. hmm mgkn tau bs coba comment share nama2 productnyaa yaa beb🥰🥰",pakai kulit iritasi perih banget  produk dokter rekomendasi  video femaledaily youtube memutuskan beli bagus   produk sukin ingredients bagus vegan cruelty gratis  paraben sls bagus   riset  bahan nya    totally aman  sensitive skin potensi  sensitizing    reaktif experiencenya    sukanya pakai berbahan dasar oil pakai lotion   tidak enak banget lotion muka kayak   bersih banget heavy dibersihinnya  dapet bersih nya tidak suka  sok far menemukan first cleanser aman banget kulit sensitif kulitnya  damaged banget hem    coba komen bagikan nama productnyaa  sayang,cleanser cream & lotion Sukin
cleanser,cream & lotion,Larissa,Milk Cleanser Apple,4.6,"harganya ekonomis alias murah. suka teksturnya.. kaya crem gel gt lho. dipakai ga lengket, langsung kaya cair wajah adem. aromanya apel.. mengandung alcohol. bersihin wajah angkat kotoran sisa make up. pakai 2x mandi.",harganya ekonomis alias murah suka teksturnya kayak crem gel   dipakai  lengket  kayak cair wajah adem aromanya apel mengandung alcohol bersihkan wajah angkat kotoran sisa memakai up pakai  mandi,cleanser cream & lotion Larissa
cleanser,cream & lotion,Drunk Elephant,the littles kit,4.8,a good holistic skincare kit! coba efek pake drunk elephant? minis bagus bgt liat keselurahn produk. favorite tlc cleansernya. sunblock tintednya ga kalah worthit. so far second purchase beli night kit.,bagus holistic skincare kit coba efek pakai drunk elephant minis bagus banget  keselurahn produk favorite tlc cleansernya sunblock tintednya  kalah worthit sok far second purchase beli malam kit,cleanser cream & lotion Drunk Elephant
cleanser,cream & lotion,Clarins,Bright Plus Brightening Repairing Night Cream,4.3,"i couldn't say much, i only can say my first impression hasilnya pakai, tekstur creamy gel, smooth, halus, enak dipake, wanginya ga menyengat, floral calming, melembabkan kulit, efek brightening and whitening i don't know i'm not sure, but hasil efektivitas kulit segini, produk murah kualitas..",couldnt sayang   only can sayang my first impression hasilnya pakai tekstur creamy gel smooth halus  dipakai wanginya  menyengat floral calming melembabkan kulit efek brightening  whitening  do not know im  sure  hasil efektivitas kulit segini produk murah kualitas,cleanser cream & lotion Clarins
